"PVWatts Hourly PV Performance Data"
"Requested Location","33027, USA"
"Location","Lat, Lng: 25.97, -80.34"
"Latitude (DD)","25.97"
"Longitude (DD)","-80.34"
"Elevation (m)","3"
"DC System Size (kW)","259.2"
"Module Type","Premium"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","7"
"Array Azimuth (deg)","127.12"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1"
"Inverter Efficiency (%)","97"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","Yes (0.7)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"11","21","2","0","0","23","1.6","0.15","0","23","0","0"
"11","21","3","0","0","23","1.4","0.15","0","23","0","0"
"11","21","4","0","0","23","1.3","0.15","0","23","0","0"
"11","21","5","0","0","23","1.2","0.15","0","23","0","0"
"11","21","6","0","0","23","1.1","0.15","0","23","0","0"
"11","21","7","410","43","23","1.2","0.15","165.259","27.516","30786.18","28760.385"
"11","21","8","669","73","24","1.4","0.15","410.146","34.671","87149.304","83695.374"
"11","21","9","789","87","25","1.4","0.15","599.083","40.762","126288.026","121842.394"
"11","21","10","281","278","25","1.2","0.15","507.927","39.002","105088.444","101179.97"
"11","21","11","868","102","26","1.1","0.15","778.931","48.208","158216.729","152962.084"
"11","21","12","0","31","26","1","0.15","31.779","26.913","6075.343","4675.675"
"11","21","13","0","62","26","0.9","0.15","63.569","27.877","12542.275","10978.747"
"11","21","14","281","232","26","1","0.15","391.854","37.405","81478.973","78168.718"
"11","21","15","340","143","26","1.2","0.15","271.248","33.414","55426.272","52776.144"
"11","21","16","349","62","25","1.4","0.15","119.231","27.837","20664.036","18894.717"
"11","21","17","0","0","25","1.5","0.15","0","0","0","0"
"11","21","18","0","0","24","1.8","0.15","0","24","0","0"
"11","21","19","0","0","24","1.9","0.15","0","24","0","0"
"11","21","20","0","0","24","1.9","0.15","0","24","0","0"
"11","21","21","0","0","24","1.9","0.15","0","24","0","0"
"11","21","22","0","0","24","1.9","0.15","0","24","0","0"
"11","21","23","0","0","24","2","0.15","0","24","0","0"
"11","22","0","0","0","24","2.1","0.15","0","24","0","0"
"11","22","1","0","0","23","2.2","0.15","0","23","0","0"
"11","22","2","0","0","23","2.3","0.15","0","23","0","0"
"11","22","3","0","0","23","2.3","0.15","0","23","0","0"
"11","22","4","0","0","23","2.3","0.15","0","23","0","0"
"11","22","5","0","0","23","2.4","0.15","0","23","0","0"
"11","22","6","0","0","23","2.4","0.15","0","23","0","0"
"11","22","7","0","45","24","2.6","0.15","47.166","24.964","9202.529","7723.624"
"11","22","8","225","135","25","3","0.15","260.781","29.968","55366.811","52718.19"
"11","22","9","4","167","25","3.4","0.15","176.448","28.164","36688.323","34512.979"
"11","22","10","182","291","26","3.5","0.15","445.562","33.886","93420.249","89807.425"
"11","22","11","244","323","26","3.3","0.15","530.589","35.717","110627.553","106578.728"
"11","22","12","129","333","26","3.1","0.15","446.971","34.443","92812.491","89215.066"
"11","22","13","59","282","26","2.8","0.15","331.373","32.579","68742.61","65755.071"
"11","22","14","16","196","26","2.6","0.15","209.474","30.303","43389.173","41044.043"
"11","22","15","118","162","26","2.2","0.15","208.362","30.604","43102.78","40764.906"
"11","22","16","212","70","25","1.8","0.15","104.824","27.355","19109.602","17379.67"
"11","22","17","0","0","25","1.5","0.15","0","0","0","0"
"11","22","18","0","0","25","1.4","0.15","0","25","0","0"
"11","22","19","0","0","25","1.3","0.15","0","25","0","0"
"11","22","20","0","0","25","1.3","0.15","0","25","0","0"
"11","22","21","0","0","25","1.3","0.15","0","25","0","0"
"11","22","22","0","0","24","1.4","0.15","0","24","0","0"
"11","22","23","0","0","24","1.5","0.15","0","24","0","0"
"11","23","0","0","0","24","1.5","0.15","0","24","0","0"
"11","23","1","0","0","24","1.7","0.15","0","24","0","0"
"11","23","2","0","0","24","1.9","0.15","0","24","0","0"
"11","23","3","0","0","24","1.9","0.15","0","24","0","0"
"11","23","4","0","0","24","1.8","0.15","0","24","0","0"
"11","23","5","0","0","24","1.7","0.15","0","24","0","0"
"11","23","6","0","0","24","1.4","0.15","0","24","0","0"
"11","23","7","189","50","24","1.1","0.15","109.321","27.064","20527.87","18762.002"
"11","23","8","75","137","25","1.1","0.15","184.086","30.172","38459.051","36238.841"
"11","23","9","459","175","25","1.1","0.15","485.007","38.687","101872.356","98045.371"
"11","23","10","323","269","26","1.1","0.15","526.87","40.896","108482.943","104488.458"
"11","23","11","344","301","26","1","0.15","586.839","43.032","119586.051","115310.235"
"11","23","12","157","333","26","0.9","0.15","467.61","39.901","95296.576","91636.209"
"11","23","13","447","249","27","0.6","0.15","560.95","45.223","113844.797","109714.453"
"11","23","14","56","227","27","0.4","0.15","263.259","35.989","53881.08","51270.105"
"11","23","15","0","118","27","0.3","0.15","120.589","31.241","24564.739","22696.584"
"11","23","16","275","66","26","0.5","0.15","110.638","29.369","19496.643","17756.905"
"11","23","17","0","0","26","0.8","0.15","0","26","0","0"
"11","23","18","0","0","25","1","0.15","0","25","0","0"
"11","23","19","0","0","25","1.2","0.15","0","25","0","0"
"11","23","20","0","0","25","1.3","0.15","0","25","0","0"
"11","23","21","0","0","25","1.3","0.15","0","25","0","0"
"11","23","22","0","0","25","1.2","0.15","0","25","0","0"
"11","23","23","0","0","25","1.2","0.15","0","25","0","0"
"11","24","0","0","0","24","1.1","0.15","0","24","0","0"
"11","24","1","0","0","24","1.1","0.15","0","24","0","0"
"11","24","2","0","0","24","1.2","0.15","0","24","0","0"
"11","24","3","0","0","24","1.4","0.15","0","24","0","0"
"11","24","4","0","0","24","1.5","0.15","0","24","0","0"
"11","24","5","0","0","24","1.6","0.15","0","24","0","0"
"11","24","6","0","0","24","1.7","0.15","0","24","0","0"
"11","24","7","145","50","24","1.8","0.15","97.54","26.331","18404.588","16692.52"
"11","24","8","589","88","25","2","0.15","383.398","33.76","81362.403","78055.102"
"11","24","9","288","208","26","2.3","0.15","409.825","34.91","86564.162","83125.058"
"11","24","10","312","268","26","2.4","0.15","517.035","37.059","107998.677","104016.463"
"11","24","11","357","297","26","2.5","0.15","591.636","38.44","122818.035","118460.326"
"11","24","12","428","281","27","2.6","0.15","618.724","39.817","128019.354","123529.854"
"11","24","13","49","273","27","2.7","0.15","315.207","33.367","65072.444","62177.901"
"11","24","14","34","214","26","2.8","0.15","238.063","30.727","49524.079","47023.502"
"11","24","15","218","156","26","2.9","0.15","238.815","30.635","49359.166","46862.767"
"11","24","16","485","52","25","2.7","0.15","131.025","27.334","21730.53","19934.189"
"11","24","17","0","0","25","2.7","0.15","0","25","0","0"
"11","24","18","0","0","25","2.9","0.15","0","25","0","0"
"11","24","19","0","0","25","3","0.14","0","25","0","0"
"11","24","20","0","0","25","3","0.14","0","25","0","0"
"11","24","21","0","0","25","3.1","0.14","0","25","0","0"
"11","24","22","0","0","25","3.1","0.14","0","25","0","0"
"11","24","23","0","0","24","3.1","0.14","0","24","0","0"
"11","25","0","0","0","24","3.2","0.14","0","24","0","0"
"11","25","1","0","0","24","3.2","0.14","0","24","0","0"
"11","25","2","0","0","24","3.4","0.14","0","24","0","0"
"11","25","3","0","0","24","3.5","0.14","0","24","0","0"
"11","25","4","0","0","24","3.2","0.14","0","24","0","0"
"11","25","5","0","0","24","3","0.14","0","24","0","0"
"11","25","6","0","0","24","2.7","0.14","0","24","0","0"
"11","25","7","0","3","24","2.4","0.14","3.061","24.065","520.205","0"
"11","25","8","0","17","24","2.2","0.14","17.361","24.386","3339.411","2009.067"
"11","25","9","0","15","24","2","0.14","15.324","24.354","2903.755","1584.449"
"11","25","10","0","153","24","1.9","0.14","157.533","27.703","32394.167","30327.63"
"11","25","11","138","325","24","2","0.14","450.019","34.409","93620.224","90002.333"
"11","25","12","58","304","24","2.1","0.14","359.536","32.139","74670.312","71532.576"
"11","25","13","62","281","25","1.8","0.14","331.346","32.986","68665.856","65680.262"
"11","25","14","15","193","25","1.3","0.14","205.275","30.525","42460.525","40138.925"
"11","25","15","0","92","24","1","0.14","93.937","26.724","19295.471","17560.829"
"11","25","16","0","57","23","1.3","0.14","57.944","24.555","11645.62","10104.811"
"11","25","17","0","0","23","1.8","0.14","0","23","0","0"
"11","25","18","0","0","23","2.2","0.14","0","23","0","0"
"11","25","19","0","0","22","2.5","0.14","0","22","0","0"
"11","25","20","0","0","22","2.6","0.14","0","22","0","0"
"11","25","21","0","0","22","2.2","0.14","0","22","0","0"
"11","25","22","0","0","22","1.7","0.14","0","22","0","0"
"11","25","23","0","0","22","1.5","0.14","0","22","0","0"
"11","26","0","0","0","22","1.2","0.14","0","22","0","0"
"11","26","1","0","0","22","1.1","0.14","0","22","0","0"
"11","26","2","0","0","22","0.9","0.14","0","22","0","0"
"11","26","3","0","0","22","0.7","0.14","0","22","0","0"
"11","26","4","0","0","22","0.4","0.14","0","22","0","0"
"11","26","5","0","0","22","0.2","0.14","0","22","0","0"
"11","26","6","0","0","22","0.2","0.14","0","22","0","0"
"11","26","7","30","47","22","0.6","0.14","58.963","23.888","11364.766","9831.074"
"11","26","8","701","59","22","0.9","0.14","397.063","33.695","84291.38","80909.864"
"11","26","9","813","71","23","1.1","0.14","583.581","39.532","123778.056","119396.022"
"11","26","10","847","88","24","1.3","0.14","703.172","43.061","146351.274","141397.277"
"11","26","11","872","92","24","1.6","0.14","759.794","43.304","157464.495","152228.909"
"11","26","12","32","277","25","1.8","0.14","311.803","32.498","64302.673","61427.633"
"11","26","13","867","85","25","2.1","0.14","664.759","40.284","139491.962","134711.768"
"11","26","14","0","61","25","2.6","0.14","62.361","26.283","12481.908","10919.91"
"11","26","15","0","94","25","2.9","0.14","95.966","26.878","19718.658","17973.294"
"11","26","16","538","45","24","3.1","0.14","131.44","26.167","21336.007","19549.663"
"11","26","17","0","0","23","3.7","0.14","0","23","0","0"
"11","26","18","0","0","22","4.6","0.14","0","22","0","0"
"11","26","19","0","0","21","5.4","0.14","0","21","0","0"
"11","26","20","0","0","20","5.9","0.14","0","20","0","0"
"11","26","21","0","0","19","6.6","0.14","0","19","0","0"
"11","26","22","0","0","18","6.8","0.14","0","18","0","0"
"11","26","23","0","0","17","6.6","0.14","0","17","0","0"
"11","27","0","0","0","17","6.4","0.14","0","17","0","0"
"11","27","1","0","0","16","6.1","0.14","0","16","0","0"
"11","27","2","0","0","16","5.9","0.14","0","16","0","0"
"11","27","3","0","0","16","6.1","0.14","0","16","0","0"
"11","27","4","0","0","15","6.5","0.14","0","15","0","0"
"11","27","5","0","0","15","6.8","0.14","0","15","0","0"
"11","27","6","0","0","15","7","0.14","0","15","0","0"
"11","27","7","539","34","15","7.1","0.14","179.702","17.001","33560.316","31464.231"
"11","27","8","802","58","15","6.6","0.14","440.444","20.221","98484.292","94743.154"
"11","27","9","909","71","15","5.8","0.14","637.89","23.357","143958.882","139065.504"
"11","27","10","955","81","16","5.2","0.14","770.075","26.878","170563.902","164996.402"
"11","27","11","975","86","17","4.9","0.14","828.853","29.2","181344.192","175503.54"
"11","27","12","671","187","18","4.6","0.14","695.906","28.655","151387.955","146306.338"
"11","27","13","764","133","19","4.4","0.14","647.01","29.2","141116.124","136294.776"
"11","27","14","897","83","19","4.1","0.14","565.183","28.309","124569.97","120167.871"
"11","27","15","803","71","19","3.5","0.14","364.214","25.389","76151.662","72976.392"
"11","27","16","610","47","18","3.1","0.14","144.78","20.381","23953.398","22100.734"
"11","27","17","0","0","17","2.9","0.14","0","17","0","0"
"11","27","18","0","0","17","2.7","0.14","0","17","0","0"
"11","27","19","0","0","17","2.4","0.14","0","17","0","0"
"11","27","20","0","0","17","2.3","0.14","0","17","0","0"
"11","27","21","0","0","16","2.5","0.14","0","16","0","0"
"11","27","22","0","0","16","3","0.14","0","16","0","0"
"11","27","23","0","0","15","3.4","0.14","0","15","0","0"
"11","28","0","0","0","15","3.5","0.14","0","15","0","0"
"11","28","1","0","0","14","3.4","0.14","0","14","0","0"
"11","28","2","0","0","14","3.4","0.14","0","14","0","0"
"11","28","3","0","0","14","3.5","0.14","0","14","0","0"
"11","28","4","0","0","14","3.5","0.14","0","14","0","0"
"11","28","5","0","0","14","3.5","0.14","0","14","0","0"
"11","28","6","0","0","14","3.6","0.14","0","14","0","0"
"11","28","7","38","45","14","3.7","0.14","58.687","14.999","11616.752","10076.675"
"11","28","8","302","119","15","3.8","0.14","273.506","19.6","60369.104","57593.734"
"11","28","9","881","74","16","3.6","0.14","621.743","26.885","138487.546","133732.801"
"11","28","10","426","236","17","3.1","0.14","563.029","27.678","122519.538","118169.392"
"11","28","11","949","91","18","2.7","0.14","812.618","34.625","174258.769","168597.648"
"11","28","12","946","93","18","2.4","0.14","794.709","35.22","169887.52","164337.159"
"11","28","13","921","93","19","2.3","0.14","706.601","34.619","151635.822","146547.925"
"11","28","14","871","86","20","2.3","0.14","553.644","32.25","120191.05","115899.904"
"11","28","15","766","75","20","2.2","0.14","354.551","27.794","73446.612","70339.882"
"11","28","16","567","50","19","2.1","0.14","140.838","21.796","23431.207","21591.774"
"11","28","17","0","0","19","2","0.14","0","19","0","0"
"11","28","18","0","0","18","2.1","0.14","0","18","0","0"
"11","28","19","0","0","18","2.2","0.14","0","18","0","0"
"11","28","20","0","0","18","2.1","0.14","0","18","0","0"
"11","28","21","0","0","18","2","0.14","0","18","0","0"
"11","28","22","0","0","18","1.9","0.14","0","18","0","0"
"11","28","23","0","0","18","2","0.14","0","18","0","0"
"11","29","0","0","0","17","2.1","0.14","0","17","0","0"
"11","29","1","0","0","17","2","0.14","0","17","0","0"
"11","29","2","0","0","17","1.8","0.14","0","17","0","0"
"11","29","3","0","0","17","1.7","0.14","0","17","0","0"
"11","29","4","0","0","17","1.9","0.14","0","17","0","0"
"11","29","5","0","0","17","2","0.14","0","17","0","0"
"11","29","6","0","0","17","1.9","0.14","0","17","0","0"
"11","29","7","0","34","17","2","0.14","35.081","17.802","6869.722","5449.926"
"11","29","8","11","116","18","1.8","0.14","126.835","21.054","27040.545","25109.659"
"11","29","9","799","89","20","1.6","0.14","588.46","34.838","127031.306","122566.841"
"11","29","10","323","260","21","1.6","0.14","511.535","33.895","108265.655","104276.676"
"11","29","11","914","92","22","1.4","0.14","785.493","42.882","163219.504","157838.098"
"11","29","12","920","91","23","1.1","0.14","771.91","45.107","158892.51","153620.742"
"11","29","13","888","94","23","1","0.14","684.737","43.127","142189.945","137341.388"
"11","29","14","834","88","23","1.1","0.14","535.354","38.361","113453.807","109333.37"
"11","29","15","735","76","23","1.2","0.14","344.065","32.39","69984.396","66965.393"
"11","29","16","539","50","22","1.2","0.14","136.337","25.304","22437.874","20623.61"
"11","29","17","0","0","21","1.2","0.14","0","21","0","0"
"11","29","18","0","0","21","1.4","0.14","0","21","0","0"
"11","29","19","0","0","21","1.6","0.14","0","21","0","0"
"11","29","20","0","0","21","1.7","0.14","0","21","0","0"
"11","29","21","0","0","21","1.7","0.14","0","21","0","0"
"11","29","22","0","0","21","1.6","0.14","0","21","0","0"
"11","29","23","0","0","21","1.6","0.14","0","21","0","0"
"11","30","0","0","0","21","1.5","0.14","0","21","0","0"
"11","30","1","0","0","21","1.5","0.14","0","21","0","0"
"11","30","2","0","0","21","1.4","0.14","0","21","0","0"
"11","30","3","0","0","21","1.2","0.14","0","21","0","0"
"11","30","4","0","0","21","1","0.14","0","21","0","0"
"11","30","5","0","0","21","0.9","0.14","0","21","0","0"
"11","30","6","0","0","21","0.8","0.14","0","21","0","0"
"11","30","7","387","38","21","0.8","0.14","144.643","25.311","25971.611","24067.809"
"11","30","8","676","68","22","1.1","0.14","389.267","32.89","82539.197","79202.079"
"11","30","9","805","82","23","1.5","0.14","582.229","38.014","124222.653","119829.354"
"11","30","10","871","89","23","1.8","0.14","712.662","40.29","150059.806","145011.842"
"11","30","11","898","93","24","1.8","0.14","772.762","42.811","160597.224","155282.262"
"11","30","12","898","94","24","1.7","0.14","757.53","42.89","157231.726","152002.039"
"11","30","13","107","292","24","1.5","0.14","372.155","33.589","77422.57","74215.097"
"11","30","14","800","93","24","1.4","0.14","521.919","37.937","110683.927","106633.674"
"11","30","15","702","79","24","1.2","0.14","334.442","33.13","67806.342","64842.526"
"11","30","16","504","51","23","1","0.14","131.769","26.371","21742.085","19945.452"
"11","30","17","0","0","23","1","0.14","0","23","0","0"
"11","30","18","0","0","23","1","0.14","0","23","0","0"
"11","30","19","0","0","22","4","0.14","0","22","0","0"
"11","30","20","0","0","22","4","0.14","0","22","0","0"
"11","30","21","0","0","22","4","0.14","0","22","0","0"
"11","30","22","0","0","22","3.9","0.14","0","22","0","0"
"11","30","23","0","0","22","3.8","0.14","0","22","0","0"
"12","1","0","0","0","21","3.7","0.14","0","21","0","0"
"12","1","1","0","0","21","3.6","0.14","0","21","0","0"
"12","1","2","0","0","21","3.5","0.14","0","21","0","0"
"12","1","3","0","0","21","3.5","0.14","0","21","0","0"
"12","1","4","0","0","21","3.6","0.14","0","21","0","0"
"12","1","5","0","0","21","3.7","0.14","0","21","0","0"
"12","1","6","0","0","21","3.9","0.14","0","21","0","0"
"12","1","7","338","39","22","4.2","0.14","132.898","24.073","23935.973","22083.75"
"12","1","8","649","70","23","4.6","0.14","377.829","28.66","81274.331","77969.262"
"12","1","9","780","86","23","4.8","0.14","569.56","31.426","124504.281","120103.846"
"12","1","10","848","94","24","4.8","0.14","702.197","34.433","151097.175","146022.926"
"12","1","11","880","97","24","4.8","0.14","761.919","35.359","162839.759","157467.975"
"12","1","12","887","97","24","4.8","0.14","751.306","35.232","160512.713","155199.892"
"12","1","13","852","102","24","5","0.14","668.135","33.747","143680.52","138794.195"
"12","1","14","803","94","24","5.3","0.14","524.5","31.371","114053.548","109917.915"
"12","1","15","712","78","23","5.4","0.14","336.868","27.565","69767.123","66753.625"
"12","1","16","522","50","23","5.1","0.14","133.738","24.672","22120.553","20314.329"
"12","1","17","0","0","22","4.6","0.14","0","22","0","0"
"12","1","18","0","0","22","4.4","0.14","0","22","0","0"
